Node,Classroom Code,Day Number,Start Time,End Time,People Count,Door Count
541,530,5,900,2200,1,1
542,531,1,900,2200,1,1
542,531,2,900,2200,1,1
542,531,3,900,2200,1,1
542,531,4,900,2200,1,1
542,531,5,900,2200,1,1
542,543,2,1600,2130,7,2
542,543,1,1600,2030,4,2
542,543,4,1600,2030,4,2
542,543,2,1300,1430,25,2
542,543,5,1230,1330,25,2
542,543,2,1130,1230,25,2
542,543,4,930,1030,25,2
542,543,1,1030,1130,22,2
542,543,3,1030,1130,22,2
542,543,3,1600,2030,9,2
542,543,2,930,1030,11,2
542,543,4,1130,1230,11,2
542,543,2,1430,1530,13,2
542,543,5,1100,1230,13,2
542,543,3,1400,1600,17,2
542,543,5,1400,1600,17,2
542,543,1,1300,1430,25,2
542,543,4,1300,1430,25,2
542,543,5,1600,2200,7,2
543,532,1,900,2200,1,1
543,532,2,900,2200,1,1
543,532,3,900,2200,1,1
543,532,4,900,2200,1,1
543,532,5,900,2200,1,1
544,533,1,900,2200,1,1
544,533,2,900,2200,1,1
544,533,3,900,2200,1,1
544,533,4,900,2200,1,1
544,533,5,900,2200,1,1
544,541,1,1000,1130,15,2
544,541,5,1300,1430,15,2
544,541,2,1400,1530,39,2
544,541,4,1400,1530,39,2
544,541,3,1200,1600,10,2
544,541,1,1400,1530,5,2
544,541,3,1030,1130,5,2
544,541,5,930,1200,21,2
544,541,3,1600,1850,53,2
544,541,2,1600,2200,6,2
544,541,5,1500,2100,7,2
544,541,4,1930,2200,9,2
544,541,2,1100,1400,19,2
544,541,1,1600,1900,9,2
545,534,1,900,2200,1,1
545,534,2,900,2200,1,1
545,534,3,900,2200,1,1
545,534,4,900,2200,1,1
545,534,5,900,2200,1,1
546,535,1,900,2200,1,1
546,535,2,900,2200,1,1
546,535,3,900,2200,1,1
546,535,4,900,2200,1,1
546,535,5,900,2200,1,1
546,539,1,900,2200,2,1
546,539,2,900,2200,2,1
546,539,3,900,2200,2,1
546,539,4,900,2200,2,1
546,539,5,900,2200,2,1
547,536,1,900,2200,1,1
547,536,2,900,2200,1,1
547,536,3,900,2200,1,1
547,536,4,900,2200,1,1
547,536,5,900,2200,1,1
547,538,1,900,2200,2,1
547,538,2,900,2200,2,1
547,538,3,900,2200,2,1
547,538,4,900,2200,2,1
547,538,5,900,2200,2,1
548,537,1,900,2200,1,1
548,537,2,900,2200,1,1
548,537,3,900,2200,1,1
548,537,4,900,2200,1,1
548,537,5,900,2200,1,1
561,504,1,900,2200,2,1
561,504,2,900,2200,2,1
561,504,3,900,2200,2,1
561,504,4,900,2200,2,1
561,504,5,900,2200,2,1
603,613,1,900,2200,1,1
603,613,2,900,2200,1,1
603,613,3,900,2200,1,1
603,613,4,900,2200,1,1
603,613,5,900,2200,1,1
604,612,1,900,2200,3,1
604,612,2,900,2200,3,1
604,612,3,900,2200,3,1
604,612,4,900,2200,3,1
604,612,5,900,2200,3,1
605,614,1,900,2200,1,1
605,614,2,900,2200,1,1
605,614,3,900,2200,1,1
605,614,4,900,2200,1,1
605,614,5,900,2200,1,1
606,611,1,900,2200,3,1
606,611,2,900,2200,3,1
606,611,3,900,2200,3,1
606,611,4,900,2200,3,1
606,611,5,900,2200,3,1
606,615,1,900,2200,1,1
606,615,2,900,2200,1,1
606,615,3,900,2200,1,1
606,615,4,900,2200,1,1
606,615,5,900,2200,1,1
607,610,1,900,2200,3,1
607,610,2,900,2200,3,1
607,610,3,900,2200,3,1
607,610,4,900,2200,3,1
607,610,5,900,2200,3,1
607,616,1,900,2200,3,1
607,616,2,900,2200,3,1
607,616,3,900,2200,3,1
607,616,4,900,2200,3,1
607,616,5,900,2200,3,1
608,609,1,900,2200,3,1
608,609,2,900,2200,3,1
608,609,3,900,2200,3,1
608,609,4,900,2200,3,1
608,609,5,900,2200,3,1
608,617,1,900,2200,1,1
608,617,2,900,2200,1,1
608,617,3,900,2200,1,1
608,617,4,900,2200,1,1
608,617,5,900,2200,1,1
609,608,1,900,2200,3,1
609,608,2,900,2200,3,1
609,608,3,900,2200,3,1
609,608,4,900,2200,3,1
609,608,5,900,2200,3,1
609,618,1,900,2200,1,1
609,618,2,900,2200,1,1
609,618,3,900,2200,1,1
609,618,4,900,2200,1,1
609,618,5,900,2200,1,1
610,607,1,900,2200,3,1
610,607,2,900,2200,3,1
610,607,3,900,2200,3,1
610,607,4,900,2200,3,1
610,607,5,900,2200,3,1
610,619,1,900,2200,1,1
610,619,2,900,2200,1,1
610,619,3,900,2200,1,1
610,619,4,900,2200,1,1
610,619,5,900,2200,1,1
611,606,1,900,2200,3,1
611,606,2,900,2200,3,1
611,606,3,900,2200,3,1
611,606,4,900,2200,3,1
611,606,5,900,2200,3,1
611,620,1,900,2200,1,1
611,620,2,900,2200,1,1
611,620,3,900,2200,1,1
611,620,4,900,2200,1,1
611,620,5,900,2200,1,1
612,605,1,900,2200,3,1
612,605,2,900,2200,3,1
612,605,3,900,2200,3,1
612,605,4,900,2200,3,1
612,605,5,900,2200,3,1
